paragraph_index,original_text,revised_text
24,"	The pharmaceutical industry is widely regarded as one of the most research-intensive sectors of the global economy. Firms are confronted with high research and development (R&D) costs, lengthy development cycles, and considerable technological and regulatory uncertainty. Estimates of the cost of bringing a new drug to market have continued to increase, thereby intensifying the pressure on companies to identify alternative means of sustaining innovation and international competitiveness (DiMasi et al., 2016). Against this background, mergers and acquisitions (M&A) have become a major strategic mechanism through which firms obtain external innovation assets—including R&D pipelines, technology platforms, patents, and clinical-stage products—instead of developing every capability internally.","The pharmaceutical industry is among the most research-intensive sectors of the global economy. Firms operate under high research and development (R&D) costs, protracted development cycles, and considerable technological and regulatory uncertainty. As the estimated cost of bringing a new drug to market has continued to rise, the pressure to find alternative means of sustaining innovation and international competitiveness has intensified (DiMasi et al., 2016). It is against this background that mergers and acquisitions (M&A) have become a principal strategic mechanism through which firms obtain external innovation assets—R&D pipelines, technology platforms, patents, and clinical-stage products—rather than developing every capability in house."
25,"A considerable amount of literature has been published on M&A, although earlier research tended to focus primarily on financial performance and market concentration. More recent studies, however, have examined acquisition as a process that may shape innovation performance and long-term value creation, particularly in knowledge-intensive industries such as pharmaceuticals (Hitt et al., 1991; Cloodt et al., 2006). Consistent with the open-innovation paradigm, there is growing evidence that pharmaceutical firms use innovation-driven acquisitions to complement or substitute internal research by obtaining access to external sources of innovation (Higgins & Rodriguez, 2006).","Although the literature on M&A is extensive, earlier work concentrated largely on financial performance and market concentration. More recent studies have instead treated acquisition as a process capable of shaping innovation performance and long-term value creation, particularly in knowledge-intensive industries such as pharmaceuticals (Hitt et al., 1991; Cloodt et al., 2006). Consistent with the open-innovation paradigm, a growing body of evidence indicates that pharmaceutical firms use innovation-driven acquisitions to complement, or to substitute for, internal research by securing access to external sources of innovation (Higgins & Rodriguez, 2006)."
26,"This issue is most relevant to the European pharmaceutical industry. While most empirical studies have taken place in the U. , the institutional framework, including regulation, pricing and market size, is different in Europe. As a result, these differences in institutions are likely to affect both incentives to participate in innovation driven transactions and how such transactions create value.","These questions are especially pertinent to the European pharmaceutical industry. Most empirical studies have been conducted in the United States, yet the European institutional framework—its regulation, pricing, and market size—differs in ways that are likely to affect both the incentives to undertake innovation-driven transactions and the manner in which such transactions create value."
27,"However, there have been fewer firm-level studies to investigate these associations in Europe. A clear understanding of the impact of innovation driven M&A on firms is required to make investment decisions, assess and manage transaction performance (for equity investors) and, policymakers concerned with the implications for innovation and public welfare from consolidation.","Firm-level evidence on these associations in Europe nevertheless remains comparatively scarce. A clearer understanding of how innovation-driven M&A affects acquiring firms would inform the investment decisions of equity investors, the assessment and management of transaction performance, and the concerns of policymakers about the consequences of consolidation for innovation and public welfare."
28,"The present study differs from much previous research in that it compares two types of completed transaction rather than acquiring and non-acquiring firms. More specifically, it examines whether an innovation rationale is associated with distinctive post-acquisition trajectories and whether innovation and financial value tend to move together or to diverge.","The present study departs from much of this earlier work by comparing two types of completed transaction rather than contrasting acquiring with non-acquiring firms. It asks, more specifically, whether an innovation rationale is associated with distinctive post-acquisition trajectories, and whether innovation and financial value tend to move together or to diverge."
29,"The remainder of this review is organised as follows. Section 1 presents the theoretical foundations and examines the competing mechanisms through which acquisitions may create or destroy value. Section 2 defines the two acquisition categories and discusses classification and measurement error. Section 3 reviews post-acquisition innovation performance and develops H1, while Section 4 considers financial performance and develops H2. Section 5 discusses the identification implications of comparing two self-selected acquisition types. Section 6 considers the non-tested mechanisms as part of a future-research agenda. Section 7 identifies the research gap and contribution, after which the conclusion establishes the link with the methodology presented in Chapter 3.","The remainder of this review is organised as follows. Section 1 sets out the theoretical foundations and examines the competing mechanisms through which acquisitions may create or destroy value. Section 2 defines the two acquisition categories and considers classification and measurement error. Section 3 reviews post-acquisition innovation performance and develops H1, and Section 4 turns to financial performance and develops H2. Section 5 discusses the identification implications of comparing two self-selected acquisition types, and Section 6 treats the mechanisms that are not tested here as a future-research agenda. Section 7 identifies the research gap and contribution, after which the conclusion establishes the link with the methodology presented in Chapter 3."
31,"The theoretical literature offers no single prediction concerning the consequences of acquisition. Several perspectives explain how access to external knowledge may create value, whereas others indicate how that value may be dissipated. By considering these mechanisms together, it becomes possible to clarify why innovation and financial outcomes are estimated separately and why the relevant comparison is between two acquisition rationales rather than between acquisition and its absence.","The theoretical literature yields no single prediction about the consequences of acquisition. Several perspectives explain how access to external knowledge may create value; others show how that value may be dissipated. Considering these mechanisms together clarifies why innovation and financial outcomes are estimated separately in this thesis, and why the relevant comparison is between two acquisition rationales rather than between acquisition and its absence."
33,"The resource-based view provides a useful framework for explaining why a pharmaceutical firm may acquire an innovative target instead of developing comparable assets internally. According to Barney (1991), sustained competitive advantage derives from resources that are valuable, rare, difficult to imitate, and not readily substitutable. In the pharmaceutical context, such resources may include patented molecules, preclinical and clinical-stage pipeline assets, proprietary research platforms, clinical data, and highly specialised scientific expertise. These assets may have value in themselves by reason of their legal protection and the difficulty with which a competing company might replicate them through tacit knowledge: by acquiring them the existing company can leverage the target's inventive know-how along with its own manufacturing, regulatory, financial, and commercial capabilities, realizing value that the target may not have been able to achieve.","The resource-based view offers a useful framework for explaining why a pharmaceutical firm might acquire an innovative target rather than develop comparable assets internally. Barney (1991) argues that sustained competitive advantage derives from resources that are valuable, rare, difficult to imitate, and not readily substitutable. In the pharmaceutical setting, such resources may include patented molecules, preclinical and clinical-stage pipeline assets, proprietary research platforms, clinical data, and highly specialised scientific expertise. Part of their value lies in their legal protection and in the difficulty a competitor would face in replicating the underlying tacit knowledge. By acquiring them, a firm can combine the target’s inventive know-how with its own manufacturing, regulatory, financial, and commercial capabilities, and so realise value that the target alone might not have achieved."
35,"Building on the previous research, the knowledge-based view regards the company as an organisation which combines and coordinates specialised knowledge (Grant 1996). In pharmaceuticals, expertise is distributed across scientific teams, laboratories, therapeutic areas, and stages of development. Acquiring a firm that already possesses complementary knowledge may therefore be faster and less costly than reproducing that knowledge internally. However, it is important to note that ownership does not necessarily ensure successful knowledge transfer. Nelson and Winter’s (1982) evolutionary account suggests that knowledge is embedded in the organisational routines and experience through which it was developed, and such routines do not automatically transfer when control changes. Consequently, legal control of a target does not in itself guarantee that the acquirer will preserve or reproduce the processes supporting the target’s innovative capability.","The knowledge-based view builds on this perspective by treating the firm as an organisation that integrates and coordinates specialised knowledge (Grant, 1996). In pharmaceuticals, that knowledge is distributed across scientific teams, laboratories, therapeutic areas, and stages of development, so acquiring a firm that already possesses complementary knowledge may be faster and less costly than reproducing it internally. Ownership, however, does not guarantee successful transfer. Nelson and Winter’s (1982) evolutionary account holds that knowledge is embedded in the organisational routines and accumulated experience through which it developed, and such routines do not move automatically when control changes hands. Legal control of a target therefore offers no assurance that the acquirer will preserve or reproduce the processes on which the target’s innovative capability depends."
37,"The concept of absorptive capacity is used here to refer to the ability of a firm to recognise, assimilate, and exploit externally acquired knowledge. Cohen and Levinthal (1990) argue that this ability depends on the existence of related prior knowledge. In the acquisition case, little technological overlap may disrupt communication and compromise the acquirer’s assessment of the target firm’s R\&D, while maximal overlap may preclude fruitful recombination. The empirical evidence on subsequent innovation activity appears broadly supportive. Ahuja and Katila (2001) find that follow-on innovation depends upon prior knowledge base attributes, and their results are repeated by Cloodt et al. (2006), though restricted to specific technology sectors.","Absorptive capacity refers here to a firm’s ability to recognise, assimilate, and exploit externally acquired knowledge. Cohen and Levinthal (1990) argue that this ability rests on related prior knowledge. In the acquisition context, too little technological overlap may impede communication and weaken the acquirer’s ability to assess the target’s R&D, whereas complete overlap may leave little scope for productive recombination. The evidence on subsequent innovation is broadly consistent with this view: Ahuja and Katila (2001) find that follow-on innovation depends on the attributes of the acquired knowledge base, a result echoed, within particular technology sectors, by Cloodt et al. (2006)."
38,The evidence implies that the consequences of prior and target knowledge overlaps are conditional on one another. Section 6 revisits this theme as a testable extension.,This evidence implies that the effects of the acquirer’s and the target’s knowledge bases are conditional on one another. Section 6 returns to this theme as a testable extension.
